Event,City,Date,Registration,State,Taiwanese American Organizations,Topic
TACEC-TANG-US TAIWAN WATCH,Philadelphia,07/01/2023,https://www.tacec.org/#/,PA,"Taiwanese American Conference / East Coast (%E6%94%AF%E6%8C%81%E5%8F%B0%E7%BE%8E%E7%B5%84%E7%B9%94%EF%BC%81%201c9e609797528187b477f3bc7196f5fe/Taiwanese%20American%20Organizations%201c9e60979752816dad32d326ecc64d63/Taiwanese%20American%20Conference%20East%20Coast%201c9e6097975281a1bec0d28b418e2fc6.md), Taiwanese American Next Generation (%E6%94%AF%E6%8C%81%E5%8F%B0%E7%BE%8E%E7%B5%84%E7%B9%94%EF%BC%81%201c9e609797528187b477f3bc7196f5fe/Taiwanese%20American%20Organizations%201c9e60979752816dad32d326ecc64d63/Taiwanese%20American%20Next%20Generation%201c9e609797528115a854df8e0f3e9ad5.md), US Taiwan Watch (%E6%94%AF%E6%8C%81%E5%8F%B0%E7%BE%8E%E7%B5%84%E7%B9%94%EF%BC%81%201c9e609797528187b477f3bc7196f5fe/Taiwanese%20American%20Organizations%201c9e60979752816dad32d326ecc64d63/US%20Taiwan%20Watch%201c9e60979752816bb017c1f0f5db234c.md)",台灣民主
2023 TACWC,Phoenix,07/01/2023,https://www.tac-wc-az.org/,AZ,Taiwanese American Conference / West Coast (%E6%94%AF%E6%8C%81%E5%8F%B0%E7%BE%8E%E7%B5%84%E7%B9%94%EF%BC%81%201c9e609797528187b477f3bc7196f5fe/Taiwanese%20American%20Organizations%201c9e60979752816dad32d326ecc64d63/Taiwanese%20American%20Conference%20West%20Coast%201c9e609797528111934fe93e751db1b0.md),
