法案名稱,法案代號,Date,Status,訴求,我要支持！
Taiwan Representative Office Act,H.R.3171,"May 24, 2023",Introduced,將台北經濟文化辦事處 (Taipei Economic and Cultural Representative Office / TECRO) 正名為台灣代表處 (Taiwan Representative Office / TRO),https://fapa.org/taiwan-representative-office-act-h-r-3171/
U.S.-Taiwan Diplomatic Relations,H.Con.Res.10,"February 21, 2023",Introduced,回復台美的正常外交關係,https://fapa.org/petition-h-con-res-10/
,,,Introduced,,
